Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Primary energy consumption per capita (kWh/person),gdp_per_capita
0.003659038009670433,0.062,0.4684506455643482,0.002921978647946628,
0.02858095755713402,0.07200000000000001,0.47480216576426487,0.0022875240480738413,
0.08260330280177262,0.08199999999999999,0.3938983756768013,0.0020361706785334893,0.0005469863268092435
0.13657262404309609,0.095,0.3817159516867971,0.0022206666609371987,0.0006382102171631379
0.19051271929634325,0.109,0.4606413994169096,0.0019721400113308276,0.000805940194805162
0.244447386576753,0.122,0.35276967930029157,0.002434081939825329,0.001054308714528651
0.2984009910012038,0.13849999999999998,0.3320491461890879,0.0029396120190976686,0.0012301749185486203
0.3524004091366931,0.153,0.2996668054977093,0.0034210708008705058,0.0020077907307077167
0.41669545627340676,0.16699999999999998,0.2204289879216993,0.00586948748331735,0.0020480686293326764
0.46064633969355606,0.184,0.17211578508954603,0.00941546158734524,0.002636430565534894
0.4197335007719828,0.2,0.15774677217825905,0.011422486236964938,0.003495716107455726
0.4250199007358049,0.218,0.13129945855893377,0.01386770375187129,0.0038837438496014207
0.6870814166466713,0.23,0.15993336109954184,0.01278625186477284,0.004269926547883911
0.6788852789302631,0.248,0.17555185339441898,0.010243444772451121,0.0041521783317301116
0.8936684425498398,0.261,0.19710537276134943,0.008387325039188112,0.00407039610727878
0.7113857726352795,0.27399999999999997,0.18252811328613078,0.009367489910744866,0.0035986371862498506
0.9767083255109174,0.28600000000000003,0.20741357767596835,0.008331462147030573,0.0032421247575303088
0.9767083255109174,0.297,0.20002082465639318,0.008008173472325077,0.0032799448407415765
0.965732225176087,0.309,0.1870054144106622,0.008924942102599514,0.0030286411683540303
0.9767083255109174,0.319,0.19273219491878385,0.0077503532072161554,0.0030976101689746474
0.9767083255109174,0.332,,0.006787372394206581,0.0032804959537826037
1.0,0.382,,0.08719192079351715,0.008223156018264325
1.0,0.405,,0.0833882090832217,0.009479020166139841
1.0,0.43200000000000005,,0.09119080779608064,0.01064159516261655
1.0,0.46399999999999997,,0.10387022021145792,0.014053168578497937
1.0,0.49,,0.11188831129628665,0.018327491678425085
1.0,0.519,,0.11148916372524471,0.020760228882347107
1.0,0.5479999999999999,,0.10599574982915401,0.023182845105469387
1.0,0.581,,0.09207262119973321,0.02822566267801472
1.0,0.608,,0.1013857812694486,0.034510003081962774
1.0,0.636,,0.11128456378003516,0.032432204779783626
1.0,0.665,,0.1195222125840554,0.03227186321488215
1.0,0.6890000000000001,,0.10481690535533693,0.03504972319637725
0.9989873185004747,0.713,,0.1028678562265331,0.03351399321502106
1.0,0.7315,,0.12932607261675777,0.034854584102886776
0.9994936592502374,0.746,,0.11403695835162819,0.03619630337356581
0.9997974637000949,0.762,,0.11418038496037831,0.03112483529876436
0.9988860503505221,0.778,,0.13348773283889956,0.032512596259147944
0.9988860503505221,0.787,,0.12362479490999215,0.03581046092348279
1.0,0.7979999999999999,,0.14107721465583745,0.041941987703497975
1.0,0.807,,0.11187483095253016,0.04281714047386065
1.0,0.813,,0.10774621495412387,0.0416067314057326
0.9896007736813743,0.971,0.0044773011245314446,0.09411639967828715,0.013396025275177293
0.9895376836239539,0.973,0.0044773011245314446,0.09619364726247145,0.013198131896847107
0.9893978323088694,0.978,0.005310287380258225,0.09830559997234405,0.013532179675509595
0.9892049164832099,0.98,0.004893794252394835,0.10149328604526595,0.016137904710942626
0.988982835430364,0.982,0.004581424406497292,0.10389349215161062,0.020244831861930587
